id,code,name,price,up_down_rate,up_down,up_rate,change_rate,quantity_rate,amplitude_rate,transaction,circulating,circulation_market,pe_ratio
1,301191,菲菱科思,110.14,20,18.36,0,39.87,1.51,21.74,8.77亿,2179.66万,24.01亿,42.19
2,300394,天孚通信,88.38,20,14.73,0,9.59,2.22,19.39,29.00亿,3.62亿,319.51亿,73.94
3,688498,源杰科技,183.92,20,30.65,0,23.64,2.28,21.48,7.61亿,1853.06万,34.08亿,402.34
4,300570,太辰光,39.2,19.99,6.53,0,16.16,2.03,20.48,11.44亿,1.94亿,75.99亿,62.9
5,300418,昆仑万维,36.56,19.99,6.09,0,16.07,4.57,18.84,61.29亿,11.06亿,404.49亿,62.01
6,688662,富信科技,38.55,17.35,5.7,0.1,14.68,2.82,20.97,2.90亿,5423.00万,20.91亿,亏损
7,301052,果麦文化,44.9,16.62,6.4,0.54,17.19,5.68,18.05,4.05亿,5470.22万,24.56亿,55.59
8,688702,盛科通信-U,59.95,15.33,7.97,0.27,33.55,1.22,18.37,7.13亿,3719.68万,22.30亿,346.6
9,300461,田中精机,23.69,15.11,3.11,-0.13,11.93,2.95,16.57,2.18亿,8171.10万,19.36亿,453.46
10,688205,德科立,65.58,14.49,8.3,-0.64,11.91,1.57,18.14,3.48亿,4686.57万,30.73亿,69.12
11,300548,博创科技,34.36,14.3,4.3,0,20.33,2.69,17.17,15.20亿,2.29亿,78.63亿,34.7
12,300308,中际旭创,111.08,14.08,13.71,0.07,8.63,2.25,15.84,68.68亿,7.50亿,833.33亿,72.65
13,300049,福瑞股份,38.11,13.86,4.64,-0.05,9.88,1.27,21.21,8.19亿,2.31亿,87.84亿,114.39
14,300432,富临精工,10.41,13.77,1.26,-0.1,6.38,4.33,20.66,7.87亿,11.93亿,124.17亿,亏损
15,688318,财富趋势,148.98,13.4,17.61,0.33,5.42,3.64,12.51,9.95亿,1.31亿,194.68亿,81.98
16,872808,曙光数创,37.84,12.75,4.28,0,8.31,4.21,16.75,2.11亿,6868.63万,25.99亿,79.26
17,300502,新易盛,44.64,12.16,4.84,-0.02,12.64,2.45,13.24,33.71亿,6.18亿,275.70亿,54.95
18,688313,仕佳光子,13.43,12.1,1.45,0.08,7.01,3.16,15.44,3.91亿,4.36亿,58.54亿,亏损
19,300620,光库科技,48.89,11.88,5.19,0.02,11.6,2.05,14.6,13.18亿,2.41亿,118.05亿,189.02
20,300624,万兴科技,82,11.41,8.4,0.01,14.48,3.97,14.61,14.01亿,1.20亿,98.69亿,128.7
21,300780,德恩精工,19.79,11.18,1.99,0.05,37.97,2.07,19.44,7.93亿,1.03亿,20.42亿,92.85
22,300255,常山药业,9.25,11.04,0.92,0,17.25,1.06,17.05,13.98亿,9.32亿,86.19亿,亏损
23,301042,安联锐视,40.8,10.96,4.03,0.15,15.9,6.11,16.97,2.61亿,4229.30万,17.26亿,34.36
24,300959,线上线下,39.3,10.39,3.7,0.64,11.23,1.88,12.19,1.58亿,3717.52万,14.61亿,69.23
25,300476,胜宏科技,22.7,10.36,2.13,0,6.34,2.53,11.91,11.89亿,8.56亿,194.38亿,28.42
26,300002,神州泰岳,9.7,10.35,0.91,0,9.35,3.49,11.6,16.01亿,18.19亿,176.46亿,23.54
27,300169,天晟新材,8.21,10.35,0.77,0,34.63,2.59,12.5,8.54亿,3.02亿,24.77亿,亏损
28,301178,天亿马,35.5,10.32,3.32,0.11,14.58,4.75,15.23,2.23亿,4359.89万,15.48亿,4359.93
29,688292,浩瀚深度,29.22,10.22,2.71,-0.1,8.41,2.22,11.51,1.92亿,8080.26万,23.61亿,56.03
30,300280,紫天科技,30.09,10.22,2.79,0.17,12.72,3.56,14.03,6.03亿,1.60亿,48.29亿,21.07
31,600355,精伦电子,4.69,10.09,0.43,0,12.88,1.39,7.04,2.91亿,4.92亿,23.08亿,亏损
32,2217,合力泰,3.5,10.06,0.32,0,4.25,1.76,8.49,4.54亿,31.13亿,108.96亿,亏损
33,2513,蓝丰生化,7.33,10.06,0.67,0,8.57,3.78,10.06,1.91亿,3.15亿,23.05亿,亏损
34,603118,共进股份,11.62,10.04,1.06,0,6.6,1.45,10.98,5.80亿,7.87亿,91.45亿,22.75
35,2892,科力尔,14.58,10.04,1.33,0,24.91,1.54,12.23,9.47亿,2.76亿,40.17亿,92.7
36,603042,华脉科技,18.11,10.02,1.65,0,30.94,2.03,9.42,8.60亿,1.61亿,29.08亿,亏损
37,603206,嘉环科技,18,10.02,1.64,0,14.88,0.9,10.7,2.25亿,8720.00万,15.70亿,34.53
38,605277,新亚电子,14.82,10.02,1.35,0,16.94,6.27,13.36,2.68亿,1.10亿,16.30亿,24.06
39,2848,高斯贝尔,11.64,10.02,1.06,0,9.93,1.07,8.22,1.85亿,1.62亿,18.87亿,亏损
40,1282,三联锻造,37.03,10.01,3.37,0,17.36,1.55,0.03,1.79亿,2780.86万,10.30亿,45.01
41,2953,日丰股份,12.42,10.01,1.13,0,3.81,3.04,6.38,9443.57万,2.01亿,24.91亿,28.54
42,2855,捷荣技术,35.94,10.01,3.27,0,17.01,0.92,9,14.63亿,2.46亿,88.45亿,亏损
43,301139,元道通信,33.2,10.01,3.02,-0.12,23.96,1.81,17.06,5.27亿,6798.58万,22.57亿,51.13
44,2281,光迅科技,31.22,10.01,2.84,0,5.43,0.85,11.52,11.05亿,6.81亿,212.55亿,51.95
45,586,汇源通信,15.4,10,1.4,0,6.33,5.71,10,1.83亿,1.93亿,29.79亿,101.33
46,688111,金山办公,374.96,10,34.08,0,1.08,2.27,10.12,18.19亿,4.62亿,1731.27亿,144.44
